langue,type,details
fr,Savoir faire,"Statistiques, Programmation, Gestion de données, Recueil de données"
fr,Savoir être,"Autonome, Curieux, Esprit d’équipe"
fr,Stack technique,"R, Python, SQL, NoSQL, Airflow, Docker, Git, BitBucket, Confluence, Jira, Tableau/PowerBI"
fr,Langues,"Français, langue maternelle"
fr,Langues,"Anglais, niveau intermédiaire avancée"
en,Hard skills,"Statistics, Programming, Data management, Data collection"
en,Soft skills,"Autonomous, Curious, Team player"
en,Technical stack,"R, Python, SQL, NoSQL, Airflow, Docker, Git, BitBucket, Confluence, Jira, Tableau/Power"
en,Languages,"French, mother tongue"
en,Languages,"English, advanced intermediate level"
